country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Burundi,Sub-Saharan Africa,2890,2806.000061,-83.9999389999998,-2.90657228373703,25680.0054,25680.0054
Dominica,Latin America & Caribbean,500,430.6000137,-69.3999863,-13.87999726,750.0122,750.0122
Virgin Islands (U.S.),Latin America & Caribbean,235.7999992,174.8999977,-60.9000015,-25.8269727339338,350.0126,350.0126
Northern Mariana Islands,East Asia & Pacific,340,293.4000015,-46.5999985,,,460.0099
Trinidad and Tobago,Latin America & Caribbean,2406.999969,2361.000061,-45.9999079999998,-1.91108884887567,5129.9871,5129.9871
Armenia,Europe & Central Asia,3350,3322.000122,-27.9998780000001,-0.835817253731339,28470.0052,28470.0052
Mauritius,Sub-Saharan Africa,410.9999847,386.3999939,-24.5999908,-5.98539944422534,2029.9902,2029.9902
Sao Tome and Principe,Sub-Saharan Africa,560,535.9999847,-24.0000153,-4.28571701785713,960.0094,960.0094
St. Lucia,Latin America & Caribbean,217.9999924,202.3999977,-15.5999947,-7.15596112103353,609.9968,609.9968
American Samoa,East Asia & Pacific,183.8999939,175,-8.8999939,-4.83958357542936,199.9998,199.9998
Antigua and Barbuda,Latin America & Caribbean,103.0000019,98.00000191,-4.99999999000001,-4.85436883278349,439.9892,439.9892
Marshall Islands,East Asia & Pacific,130,126.4000034,-3.5999966,,,180.005
Luxembourg,Europe & Central Asia,870,866.9999695,-3.00003049999998,,,2429.9898
British Virgin Islands,Latin America & Caribbean,37.10000038,36.19999886,-0.900001519999996,-2.42588008296941,150.0128,150.0128
Afghanistan,South Asia,13500,13500,,,652860.005,652860.005
Andorra,Europe & Central Asia,160,160,,,470.0073,470.0073
Aruba,Latin America & Caribbean,4.199999869,4.199999869,,,180.005,180.005
"Bahamas, The",Latin America & Caribbean,5150,5150,,,10009.9874,10009.9874
Barbados,Latin America & Caribbean,63.00000191,63.00000191,,,429.9918,429.9918
Bermuda,North America,10,10,,,54.0015,54.0015
Cayman Islands,Latin America & Caribbean,126.9999981,126.9999981,,,239.9894,239.9894
Channel Islands,Europe & Central Asia,8.000000119,8.000000119,,,198.0055,198.0055
Djibouti,Middle East & North Africa,55.99999905,55.99999905,,,23180.0079,23180.0079
Faroe Islands,Europe & Central Asia,0.799999982,0.799999982,,,1396.01,1396.01
Greenland,Europe & Central Asia,2.199999988,2.199999988,,-16.7499080295996,341699.995,410449.991
